          1978年以来住宅投资和竣工建筑面积,,,,,
,,,,,
年  份,住宅投资额,其  中,占全社会固定资产投,住宅竣工建筑面积,住宅建筑面积
,,# 房地产,资总额比重,,竣工率
,（亿元）,,（%）,（万平方米）,（%）
1978,  2.67,,  9.6,  199.61,
1979,  3.31,,  9.3,  215.99,
1980,  5.82,,  12.8,  304.32,
1981,  10.02,,  18.4, 1 380.70,  78.3
1982,  11.03,,  15.5, 1 363.63,  77.7
1983,  11.18,,  14.7, 1 347.79,  77.2
1984,  15.88,,  17.2, 1 788.44,  80.9
1985,  25.47,,  21.5, 2 112.04,  79.7
1986,  28.24,,  19.2, 1 790.01,  72.5
1987,  36.28,,  19.5, 1 874.90,  70.5
1988,  44.84,,  18.3, 1 758.29,  65.9
1989,  35.82,  1.85,  16.7, 1 246.58,  60.9
1990,  42.94,  7.26,  18.9, 1 339.02,  59.0
1991,  48.92,  7.31,  18.9, 1 160.61,  53.8
1992,  61.23,  11.73,  17.1, 1 379.18,  56.0
1993,  77.14,  13.96,  11.8, 1 017.54,  47.5
1994,  300.65,  106.31,  26.8, 1 349.24,  38.3
1995,  433.76,  280.38,  27.1, 1 746.82,  28.2
1996,  466.99,  356.01,  23.9, 1 872.65,  31.9
1997,  458.22,  334.07,  23.2, 2 179.68,  40.0
1998,  404.96,  320.66,  20.6, 1 963.51,  38.4
1999,  378.82,  324.49,  20.4, 1 731.55,  37.6
2000,  443.90,  408.82,  23.7, 1 724.02,  35.9
2001,  466.71,  439.17,  23.4, 1 743.90,  33.3
2002,  584.51,  567.76,  26.7, 1 880.50,  31.4
2003,  694.30,  676.28,  28.3, 2 280.79,  32.7
2004,  922.61,  900.67,  29.9, 3 270.43,  41.5
2005,  936.36,  920.84,  26.4, 2 819.35,  34.1
2006,  854.15,  835.65,  21.8, 2 746.80,  34.0
2007,  853.13,  837.53,  19.1, 2 843.62,  36.5
2008,  871.52,  843.63,  18.0, 1 899.40,  26.9
2009,  922.81,  918.68,  17.5, 1 522.07,  23.1
2010, 1 232.96, 1 229.83,  23.2, 1 415.44,  19.3
2011, 1 403.13, 1 398.75,  27.7, 1 568.83,  18.6
2012, 1 457.64, 1 451.94,  27.7, 1 626.73,  19.5
2013, 1 626.95, 1 615.51,  28.8, 1 439.20,  17.6
2014, 1 730.81, 1 724.65,  28.8, 1 549.64,  18.1
2015, 1 822.73, 1 813.32,  28.7, 1 617.86,  19.2
注：1981年以前住宅投资额和住宅竣工建筑面积数据不包括城乡私人建房和农村投资，从1981年开始为全社会口径。,,,,,
